acc,age_low,age_high
U31472,0.002,0.005
U31473,0.002,0.005
U31474,0.002,0.005
U31475,0.002,0.005
U31476,0.002,0.005
U31480,0.002,0.005
U31481,0.002,0.005
U31482,0.002,0.005
U31488,0.002,0.005
U31485.1,0.03,0.04
U31483,1.8,3
U31484,1.8,3
U31489,1.8,3
U31490,1.8,3
U31491,1.8,3
U31492,1.8,3
U31493,1.8,3
U31494,1.8,3
U31495,1.8,3
U31496,1.8,3
U31497,1.8,3
U31498,1.8,3
U31499,1.8,3
U31500,1.8,3
U31477,3,5
U31478,3,5
U31479,3,5
U31486,3,5
U31487,3,5
AY169434.1,0.12,0.12
AY169433.1,0.12,0.12
AY169432.1,0.12,0.12
AY169431.1,0.12,0.12
AY169430.1,0.12,0.12
AY169429.1,0.12,0.12
AY169428.1,0.12,0.12
AY169427.1,0.12,0.12
AY169426.1,0.12,0.12
AY169425.1,0.12,0.12
AY169424.1,0.12,0.12
AY169423.1,0.12,0.12
AY169422.1,0.12,0.12
AY169421.1,0.12,0.12
AY169420.1,0.12,0.12
AY169419.1,0.12,0.12
AY169418.1,0.12,0.12
AY169417.1,0.12,0.12
AY169416.1,0.12,0.12
AY169415.1,0.12,0.12
AY169414.1,0.12,0.12
AY169413.1,0.12,0.12
AY169412.1,0.12,0.12
AY169411.1,0.12,0.12
AY439278.1,0.12,0.12
AY439277.1,0.12,0.12
AY439276.1,0.12,0.12
AY439275.1,0.12,0.12
AY439274.1,0.12,0.12
AY439273.1,0.12,0.12
AY439272.1,0.12,0.12
AY439271.1,0.12,0.12
AY439270.1,0.12,0.12
AY439269.1,0.12,0.12
AY439268.1,0.12,0.12
AY439267.1,0.12,0.12
AY439266.1,0.12,0.12
AY439265.1,0.12,0.12
AY439264.1,0.12,0.12
AY439263.1,0.12,0.12
AY439262.1,0.12,0.12
AY439261.1,0.12,0.12
AY439260.1,0.12,0.12
AY439259.1,0.12,0.12
AY439258.1,0.12,0.12
AY439257.1,0.12,0.12
AY439256.1,0.12,0.12
AY439255.1,0.12,0.12
AY439254.1,0.12,0.12
AY439253.1,0.12,0.12
AY439252.1,0.12,0.12
AY439251.1,0.12,0.12
AY439250.1,0.12,0.12
AY439249.1,0.12,0.12
AY439248.1,0.12,0.12
AY439247.1,0.12,0.12
AY439246.1,0.12,0.12
AY439245.1,0.12,0.12
AY439244.1,0.12,0.12
AY439243.1,0.12,0.12
AY439242.1,0.12,0.12
AY439241.1,0.12,0.12
AY439240.1,0.12,0.12
AY439239.1,0.12,0.12
AY439238.1,0.12,0.12
AY439237.1,0.12,0.12
AY439236.1,0.12,0.12
AY439235.1,0.12,0.12
AY439234.1,0.12,0.12
AY439233.1,0.12,0.12
AY439232.1,0.12,0.12
AY439231.1,0.12,0.12
AY439230.1,0.12,0.12
AY439229.1,0.12,0.12
AY439228.1,0.12,0.12
AY439227.1,0.12,0.12
AY439226.1,0.12,0.12
AY439225.1,0.12,0.12
AY439224.1,0.12,0.12
AY439223.1,0.12,0.12
AY439278.1,0.12,0.12
AY439277.1,0.12,0.12
AY439276.1,0.12,0.12
AY439275.1,0.12,0.12
AY439274.1,0.12,0.12
AY439273.1,0.12,0.12
AY439272.1,0.12,0.12
AY439271.1,0.12,0.12
AY439270.1,0.12,0.12
AY439269.1,0.12,0.12
AY439268.1,0.12,0.12
AY439267.1,0.12,0.12
AY439266.1,0.12,0.12
AY439265.1,0.12,0.12
AY439264.1,0.12,0.12
AY439263.1,0.12,0.12
AY439262.1,0.12,0.12
AY439261.1,0.12,0.12
AY439260.1,0.12,0.12
AY439259.1,0.12,0.12
AY439258.1,0.12,0.12
AY439257.1,0.12,0.12
AY439256.1,0.12,0.12
AY439255.1,0.12,0.12
AY439254.1,0.12,0.12
AY439253.1,0.12,0.12
AY439252.1,0.12,0.12
AY439251.1,0.12,0.12
AY439250.1,0.12,0.12
AY439249.1,0.12,0.12
AY439248.1,0.12,0.12
AY439247.1,0.12,0.12
AY439246.1,0.12,0.12
AY439245.1,0.12,0.12
AY439244.1,0.12,0.12
AY439243.1,0.12,0.12
AY439242.1,0.12,0.12
AY439241.1,0.12,0.12
AY439240.1,0.12,0.12
AY439239.1,0.12,0.12
AY439238.1,0.12,0.12
AY439237.1,0.12,0.12
AY439236.1,0.12,0.12
AY439235.1,0.12,0.12
AY439234.1,0.12,0.12
AY439233.1,0.12,0.12
AY439232.1,0.12,0.12
AY439231.1,0.12,0.12
AY439230.1,0.12,0.12
AY439229.1,0.12,0.12
AY439228.1,0.12,0.12
AY439227.1,0.12,0.12
AY439226.1,0.12,0.12
AY439225.1,0.12,0.12
AY439224.1,0.12,0.12
AY439223.1,0.12,0.12
KF769009.1,0.003,0.003
KF769008.1,0.003,0.003
KF768980.1,0.003,0.003
KF768978.1,0.003,0.003
KF768996.1,0.003,0.003
KF768982.1,0.003,0.003
KF768971.1,0.003,0.003
KJ735660.1,0.003,0.003
KJ735663.1,0.003,0.003
KJ735664.1,0.003,0.003
KJ735659.1,0.003,0.003
KF769011.1,0.003,0.003
KF769006.1,0.003,0.003
KF769005.1,0.003,0.003
KF769003.1,0.003,0.003
KF769002.1,0.003,0.003
KF768973.1,0.003,0.003
KF768972.1,0.003,0.003
KF768977.1,0.03,0.03
KF768997.1,0.03,0.03
KF768970.1,0.03,0.03
KF768989.1,0.03,0.03
KF768990.1,0.03,0.03
KF768975.1,0.03,0.03
KF768976.1,0.03,0.03
KF768983.1,0.03,0.03
KF768984.1,0.03,0.03
KF768985.1,0.03,0.03
KF768986.1,0.03,0.03
KF768987.1,0.03,0.03
KF768988.1,0.03,0.03
KF769000.1,0.03,0.03
KF769001.1,0.03,0.03
KF769004.1,0.03,0.03
KF769010.1,0.03,0.03
KF769012.1,0.03,0.03
KF769014.1,0.03,0.03
KJ735651.1,0.03,0.03
KJ735655.1,0.03,0.03
KJ735661.1,0.03,0.03
KF768979.1,0.08,0.08
KF768981.1,0.08,0.08
KF768993.1,0.08,0.08
KF768999.1,0.08,0.08
KJ735652.1,0.08,0.08
KJ735654.1,0.08,0.08
KJ735656.1,0.08,0.08
KJ735657.1,0.08,0.08
KJ735658.1,0.08,0.08
KJ735667.1,0.08,0.08
MG642093,0.013,0.013
MG642094,0.013,0.013
MG642095,0.013,0.013
MG642096,0.013,0.013
MG642097,0.013,0.013
MG642098,0.013,0.013
MG642099,0.013,0.013
MG642100,0.013,0.013
MG642101,0.013,0.013
MG642102,0.013,0.013
MG642103,0.013,0.013
MG642104,0.013,0.013
MG642105,0.013,0.013
MG642106,0.013,0.013
MG642107,0.013,0.013
MG642108,0.013,0.013
MG642109,0.013,0.013
MG642110,0.013,0.013
MG642111,0.013,0.013
MG642112,0.013,0.013
MG642113,0.013,0.013
MG642114,0.013,0.013
MG642115,0.013,0.013
MG642116,0.013,0.013
MG642117,0.013,0.013
MG642118,0.013,0.013
MG642119,0.013,0.013
MG642120,0.013,0.013
MG642121,0.013,0.013
MG642122,0.013,0.013
MG642123,0.013,0.013
MG642124,0.013,0.013
MG642125,0.013,0.013
MG642126,0.013,0.013
MG642127,0.013,0.013
MG642128,0.013,0.013
MG642129,0.013,0.013
MG642130,0.013,0.013
MG642131,0.013,0.013
MG642137,0.013,0.013
MG642138,0.013,0.013
MG642139,0.013,0.013
MG642140,0.013,0.013
MG642141,0.013,0.013
MG680928,0.013,0.013
MG680928,0.013,0.013
MG680933,0.013,0.013
MG680934,0.013,0.013
MH321580,0.013,0.013
MH321581,0.013,0.013
MH321582,0.013,0.013
MH321583,0.013,0.013
MH321584,0.013,0.013
MH321585,0.013,0.013
MH321586,0.013,0.013
MH321587,0.013,0.013
MH321588,0.013,0.013
MH321589,0.013,0.013
MH321590,0.013,0.013
MH321591,0.013,0.013
MH321592,0.013,0.013
MH321593,0.013,0.013
MH321594,0.013,0.013
MH321595,0.013,0.013
MH321596,0.013,0.013
MH321597,0.013,0.013
MH321598,0.013,0.013
MH321599,0.013,0.013
MH321601,0.013,0.013
MH321602,0.013,0.013
MH321603,0.013,0.013
MN577392,0.013,0.013
MN577393,0.013,0.013
MN577394,0.013,0.013
MN577395,0.013,0.013
MN577397,0.013,0.013
MN577399,0.013,0.013
MN577401,0.013,0.013
MN577406,0.013,0.013
MN577408,0.013,0.013
EF127605,0.1,0.1
EF127606,0.1,0.1
EF127607,0.1,0.1
EF127608,0.1,0.1
EF127609,0.1,0.1
EF127610,0.1,0.1
EF127611,0.1,0.1
EF127612,0.1,0.1
EF127613,0.1,0.1
EF127614,0.1,0.1
EF127615,0.1,0.1
EF127616,0.1,0.1
EF127617,0.1,0.1
EF127618,0.1,0.1
EF127619,0.1,0.1
EF127620,0.1,0.1
EF127621,0.1,0.1
EF127622,0.1,0.1
EF127623,0.1,0.1
EF127594,8,8
EF127595,8,8
EF127596,8,8
EF127597,8,8
EF127598,8,8
EF127599,8,8
EF127600,8,8
EF127601,8,8
EF127602,8,8
EF127603,8,8
EF127604,8,8
LC524012,13,103
LC524013,13,103
LC524014,13,103
LC524015,13,103
LC524016,13,103
LC524017,13,103
LC524018,13,103
LC524019,13,103
LC524020,13,103
LC524021,13,103
LC524022,13,103
LC524023,13,103
LC524024,13,103
LC524025,13,103
LC524026,13,103
LC524027,13,103
LC524028,13,103
LC524029,13,103
LC524030,13,103
LC524031,13,103
LC524032,13,103
LC524033,13,103
LC524034,13,103
LC524035,13,103
LC524036,13,103
LC524037,13,103
LC524038,13,103
LC524039,13,103
LC524040,13,103
LC524041,13,103
LC524042,13,103
LC524043,13,103
LC524044,13,103
LC524045,13,103
LC524046,13,103
LC524047,13,103
LC524048,13,103
LC524049,13,103
LC524050,13,103
LC524051,13,103
LC524052,13,103
LC524053,13,103
LC524054,13,103
LC524055,13,103
LC524056,13,103
LC524057,13,103
LC524058,13,103
LC524059,13,103
LC524060,13,103
LC524061,13,103
LC524062,13,103
LC524063,13,103
LC524064,13,103
LC524065,13,103
LC524066,13,103
LC524067,13,103
LC524068,13,103
LC524069,13,103
LC524070,13,103
LC524071,13,103
LC524072,13,103
LC524073,13,103
LC524074,13,103
LC524075,13,103
LC524076,13,103
LC524077,13,103
LC524078,13,103
LC524079,13,103
LC524080,13,103
LC524081,13,103
LC524082,13,103
LC524083,13,103
LC524084,13,103
LC524085,13,103
LC524086,13,103
LC524087,13,103
LC524088,13,103
LC524089,13,103
LC524090,13,103
LC524091,13,103
LC524092,13,103
LC524093,13,103
LC524094,13,103
LC524095,13,103
LC524096,13,103
LC524097,13,103
LC524098,13,103
LC524099,13,103
LC524100,13,103
LC524101,13,103
LC524102,13,103
LC524103,13,103
LC524104,13,103
LC524105,13,103
LC524106,13,103
LC524107,13,103
LC524108,13,103
LC524109,13,103
LC524110,13,103
LC524111,13,103
LC524112,13,103
LC524113,13,103
LC524114,13,103
LC524115,13,103
LC524116,13,103
LC524117,13,103
LC524118,13,103
LC524119,13,103
LC524120,13,103
LC524121,13,103
LC524122,13,103
EU083531.1,0.1,1
EU083532.1,0.005,0.6
EU083533.1,0.005,0.6
EU083534.1,0.005,0.6
EU083535.1,0.005,0.6
EU083536.1,0.005,0.6
EU083537.1,0.005,0.6
EU083538.1,0.005,0.6
EU083539.1,0.005,0.6
EU083540.1,0.005,0.6
EU083541.1,0.005,0.6
EU083542.1,0.005,0.6
EU083543.1,0.005,0.6
EU083544.1,0.005,0.6
EU083545.1,0.005,0.6
EU083546.1,0.005,0.6
EU083547.1,0.005,0.6
EU083548.1,0.005,0.6
EU083549.1,0.005,0.6
EU083550.1,0.005,0.6
EU083551.1,0.005,0.6
EU083552.1,0.005,0.6
EU083553.1,0.005,0.6
EU083554.1,0.005,0.6
EU083555.1,0.005,0.6
EU083556.1,0.005,0.6
EU083557.1,0.005,0.6
EU083558.1,0.005,0.6
EU083559.1,0.005,0.6
EU083560.1,0.005,0.6
EU083561.1,0.005,0.6
EU083562.1,0.005,0.6
EU083563.1,0.005,0.6
EU083564.1,0.005,0.6
EU083565.1,0.005,0.6
EU083566.1,0.005,0.6
EU083567.1,0.005,0.6
EU083568.1,0.005,0.6
EU083569.1,0.005,0.6
EU083570.1,0.005,0.6
EU083571.1,0.005,0.6
EU083572.1,0.005,0.6
EU083573.1,0.005,0.6
EU083574.1,0.005,0.6
EU083575.1,0.005,0.6
EU083576.1,0.005,0.6
EU083577.1,0.005,0.6
EU083578.1,0.005,0.6
EU083579.1,0.005,0.6
EU083580.1,0.005,0.6
EU083581.1,0.005,0.6
EU083582.1,0.005,0.6
EU083583.1,0.005,0.6
EU083584.1,0.005,0.6
EU083585.1,0.005,0.6
EU083586.1,0.005,0.6
EU083587.1,0.005,0.6
EU083588.1,0.005,0.6
EU083589.1,0.005,0.6
EU083590.1,0.005,0.6
EU083591.1,0.005,0.6
EU083592.1,0.005,0.6
EU083593.1,0.005,0.6
EU083594.1,0.005,0.6
EU083595.1,0.005,0.6
EU083596.1,0.005,0.6
EU083597.1,0.005,0.6
EU083598.1,0.005,0.6
EU083599.1,0.005,0.6
EU083600.1,0.005,0.6
EU083601.1,0.005,0.6
EU083602.1,0.005,0.6
EU083603.1,0.005,0.6
EU083604.1,0.005,0.6
EU083605.1,0.005,0.6
EU083606.1,0.005,0.6
EU083607.1,0.005,0.6
EU083608.1,0.005,0.6
EU083609.1,0.005,0.6
EU083610.1,0.005,0.6
EU083611.1,0.005,0.6
EU083612.1,0.005,0.6
EU083613.1,0.005,0.6
EU083614.1,0.005,0.6
EU083615.1,0.005,0.6
EU083616.1,0.005,0.6
EU083617.1,0.005,0.6
EU083618.1,0.005,0.6
EU083619.1,0.005,0.6
EU083620.1,0.005,0.6
EU083621.1,0.005,0.6
EU083622.1,0.005,0.6
EU083623.1,0.005,0.6
EU083624.1,0.005,0.6
EU083625.1,0.005,0.6
EU083626.1,0.005,0.6
EU083627.1,0.005,0.6
EU083628.1,0.005,0.6
EU083629.1,0.005,0.6
EU083630.1,0.005,0.6
EU083631.1,0.005,0.6
EU083632.1,0.005,0.6
EU083633.1,0.005,0.6
EU083634.1,0.005,0.6
EU083635.1,0.005,0.6
EU083636.1,0.005,0.6
EU083637.1,0.005,0.6
EU083638.1,0.005,0.6
EU083639.1,0.005,0.6
EU083640.1,0.005,0.6
EU083641.1,0.005,0.6
EU083642.1,0.005,0.6
EU083643.1,0.005,0.6
EU083644.1,0.005,0.6
EU083645.1,0.005,0.6
EU083646.1,0.005,0.6
EU083647.1,0.005,0.6
EU083648.1,0.005,0.6
EU083649.1,0.005,0.6
EU083650.1,0.005,0.6
EU083651.1,0.005,0.6
EU083652.1,0.005,0.6
EU083653.1,0.005,0.6
EU083654.1,0.005,0.6
EU083655.1,0.005,0.6
EU083656.1,0.005,0.6
EU083657.1,0.005,0.6
EU083658.1,0.005,0.6
EU083659.1,0.005,0.6
EU083660.1,0.005,0.6
EU083661.1,0.005,0.6
EU083662.1,0.005,0.6
EU083663.1,0.005,0.6
EU083664.1,0.005,0.6
EU083665.1,0.005,0.6
EU083666.1,0.005,0.6
EU083667.1,0.005,0.6
EU083668.1,0.005,0.6
EU083669.1,0.005,0.6
EU083670.1,0.005,0.6
EU083671.1,0.005,0.6
EU083672.1,0.005,0.6
EU083673.1,0.005,0.6
EU083674.1,0.005,0.6
EU083675.1,0.005,0.6
EU083676.1,0.005,0.6
EU083677.1,0.005,0.6
EU083678.1,0.005,0.6
EU083679.1,0.005,0.6
EU083680.1,0.005,0.6
EU083681.1,0.005,0.6
EU083682.1,0.005,0.6
EU083683.1,0.005,0.6
EU083684.1,0.005,0.6
EU083685.1,0.005,0.6
EU083686.1,0.005,0.6
EU083687.1,0.005,0.6
EU083688.1,0.005,0.6
EU083689.1,0.005,0.6
EU083690.1,0.005,0.6
EU083691.1,0.005,0.6
EU083692.1,0.005,0.6
EU083693.1,0.005,0.6
EU083694.1,0.005,0.6
EU083695.1,0.005,0.6
EU083696.1,0.005,0.6
EU083697.1,0.005,0.6
EU083698.1,0.005,0.6
EU083699.1,0.005,0.6
EU083700.1,0.005,0.6
EU083701.1,0.005,0.6
EU083702.1,0.005,0.6
EU083703.1,0.005,0.6
EU083704.1,0.005,0.6
EU083705.1,0.005,0.6
EU083706.1,0.005,0.6
EU083707.1,0.005,0.6
EU083708.1,0.005,0.6
EU083709.1,0.005,0.6
EU083710.1,0.005,0.6
EU083711.1,0.005,0.6
EU083712.1,0.005,0.6
EU083713.1,0.005,0.6
EU083714.1,0.005,0.6
EU083715.1,0.005,0.6
EU083716.1,0.005,0.6
EU083717.1,0.005,0.6
EU083718.1,0.005,0.6
EU083719.1,0.005,0.6
EU083720.1,0.005,0.6
EU083721.1,0.005,0.6
EU083722.1,0.005,0.6
EU083723.1,0.005,0.6
EU083724.1,0.005,0.6
EU083725.1,0.005,0.6
EU083726.1,0.005,0.6
EU083727.1,0.005,0.6
EU083728.1,0.005,0.6
EU083729.1,0.005,0.6
EU083730.1,0.005,0.6
EU083731.1,0.005,0.6
EU083732.1,0.005,0.6
EU083733.1,0.005,0.6
EU083734.1,0.005,0.6
EU083735.1,0.005,0.6
EU083736.1,0.005,0.6
EU083737.1,0.005,0.6
EU083738.1,0.005,0.6
EU083739.1,0.005,0.6
EU083740.1,0.005,0.6
EU083741.1,0.005,0.6
EU083742.1,0.005,0.6
EU083743.1,0.005,0.6
EU083744.1,0.005,0.6
EU083745.1,0.005,0.6
EU083746.1,0.005,0.6
EU083747.1,0.005,0.6
EU083748.1,0.005,0.6
EU083749.1,0.005,0.6
EU083750.1,0.005,0.6
EU083751.1,0.005,0.6
EU083752.1,0.005,0.6
EU083753.1,0.005,0.6
EU083754.1,0.005,0.6
EU083755.1,0.005,0.6
EU083756.1,0.005,0.6
EU083757.1,0.005,0.6
EU083758.1,0.005,0.6
EU083759.1,0.005,0.6
EU083760.1,0.005,0.6
EU083761.1,0.005,0.6
EU083762.1,0.005,0.6
EU083763.1,0.005,0.6
EU083764.1,0.005,0.6
EU083765.1,0.005,0.6
EU083766.1,0.005,0.6
EU083767.1,0.005,0.6
EU083768.1,0.005,0.6
EU083769.1,0.005,0.6
EU083770.1,0.005,0.6
EU083771.1,0.005,0.6
EU083772.1,0.005,0.6
EU083773.1,0.005,0.6
EU083774.1,0.005,0.6
EU083775.1,0.005,0.6
EU083776.1,0.005,0.6
EU083777.1,0.005,0.6
EU083778.1,0.005,0.6
EU083779.1,0.005,0.6
EU083780.1,0.005,0.6
EU083781.1,0.005,0.6
EU083782.1,0.005,0.6
EU083783.1,0.005,0.6
EU083784.1,0.005,0.6
EU083785.1,0.005,0.6
EU083786.1,0.005,0.6
EU083787.1,0.005,0.6
EU083788.1,0.005,0.6
EU083789.1,0.005,0.6
EU083790.1,0.005,0.6
EU083791.1,0.005,0.6
EU083792.1,0.005,0.6
EU083793.1,0.005,0.6
EU083794.1,0.005,0.6
EU083795.1,0.005,0.6
EU083796.1,0.005,0.6
EU083797.1,0.005,0.6
EU083798.1,0.005,0.6
DQ147603.1,0.12,0.12
DQ147602.1,0.12,0.12
DQ147601.1,0.12,0.12
DQ147600.1,0.12,0.12
DQ147599.1,0.12,0.12
DQ147598.1,0.12,0.12
DQ147597.1,0.12,0.12
DQ147596.1,0.12,0.12
DQ147595.1,0.12,0.12
DQ147594.1,0.12,0.12
DQ147593.1,0.12,0.12
DQ147592.1,0.12,0.12
DQ147591.1,0.12,0.12
DQ147590.1,0.12,0.12
DQ147589.1,0.12,0.12
DQ147588.1,0.12,0.12
DQ147587.1,0.12,0.12
DQ147586.1,0.12,0.12
DQ147585.1,0.12,0.12
DQ147584.1,0.12,0.12
DQ147583.1,0.12,0.12
DQ147582.1,0.12,0.12
DQ147581.1,0.12,0.12
DQ147580.1,0.12,0.12
DQ147579.1,0.12,0.12
DQ147578.1,0.12,0.12
DQ147577.1,0.12,0.12
DQ147576.1,0.12,0.12
DQ147575.1,0.12,0.12
DQ147574.1,0.12,0.12
DQ147573.1,0.12,0.12
DQ147572.1,0.12,0.12
DQ147571.1,0.12,0.12
DQ147570.1,0.12,0.12
DQ147569.1,0.12,0.12
DQ147568.1,0.12,0.12
DQ147567.1,0.12,0.12
DQ147566.1,0.12,0.12
DQ147565.1,0.12,0.12
DQ147564.1,0.12,0.12
DQ147563.1,0.12,0.12
DQ147562.1,0.12,0.12
DQ147561.1,0.12,0.12
DQ147560.1,0.12,0.12
DQ147559.1,0.12,0.12
DQ148293.1,0.12,0.12
DQ145751.1,0.12,0.12
DQ145750.1,0.12,0.12
DQ145749.1,0.12,0.12
DQ145748.1,0.12,0.12
DQ145747.1,0.12,0.12
DQ145746.1,0.12,0.12
DQ145745.1,0.12,0.12
DQ145744.1,0.12,0.12
DQ145743.1,0.12,0.12
DQ145742.1,0.12,0.12
DQ145741.1,0.12,0.12
DQ145740.1,0.12,0.12
DQ145739.1,0.12,0.12
DQ145738.1,0.12,0.12
DQ145737.1,0.12,0.12
DQ145736.1,0.12,0.12
EU218845,0.005,0.006
EU218847,0.005,0.006
EU218848,0.005,0.006
EU218849,0.005,0.006
EU218842,0.005,0.006
EU218843,0.005,0.006
