acc,age_low,age_high
AJ319548,11,15.8
AJ319549,11,15.8
AJ319550,11,15.8
AJ319551,11,15.8
AJ319552,11,15.8
AJ319553,11,15.8
AJ319554,11,15.8
AJ319555,11,15.8
AJ319556,11,15.8
AJ319557,11,15.8
AJ319558,11,15.8
AJ319559,11,15.8
AJ319560,11,15.8
AJ319561,11,15.8
AJ319562,11,15.8
AJ319563,11,15.8
AJ319564,11,15.8
AJ319565,11,15.8
AJ319566,11,15.8
AJ319567,11,15.8
AJ319568,65,96
AJ319569,65,96
AJ319570,65,96
AJ319571,65,96
AJ319572,65,96
AJ319573,65,96
AJ319574,65,96
AJ319575,65,96
AJ319576,65,96
AJ319577,65,96
AJ319543,415,425
AJ319544,415,425
AJ319545,415,425
AJ319546,415,425
AJ319547,415,425
AJ878078,112,121
AJ878079,112,121
AJ878081,112,121
AJ878082,112,121
AJ878083,112,121
AJ878084,112,121
AJ420376.1,225,280
FJ492052.1,0,0.1
FJ492051.1,0,0.1
FJ492050.1,0,0.1
FJ492049.1,0,0.1
FJ492048.1,0,0.1
FJ492047.1,0,0.1
FJ971106.1,1.8,5.3
FJ971105.1,1.8,5.3
FJ971104.1,1.8,5.3
FJ971103.1,1.8,5.3
FJ971102.1,1.8,5.3
FJ971101.1,1.8,5.3
FJ971100.1,1.8,5.3
FJ971099.1,1.8,5.3
FJ971098.1,1.8,5.3
FJ971097.1,1.8,5.3
FJ971096.1,1.8,5.3
FJ971095.1,1.8,5.3
FJ971094.1,1.8,5.3
FJ971093.1,1.8,5.3
FJ971092.1,1.8,5.3
FJ971091.1,1.8,5.3
FJ971090.1,1.8,5.3
FJ971089.1,1.8,5.3
FJ876063.1,1.8,5.3
FJ876062.1,1.8,5.3
FJ876061.1,1.8,5.3
FJ876060.1,1.8,5.3
FJ876059.1,1.8,5.3
FJ876058.1,1.8,5.3
FJ876057.1,1.8,5.3
FJ876056.1,1.8,5.3
FJ876055.1,1.8,5.3
FJ876054.1,1.8,5.3
FJ876053.1,1.8,5.3
FJ876052.1,1.8,5.3
FJ876051.1,1.8,5.3
FJ876050.1,1.8,5.3
FJ876049.1,1.8,5.3
FJ876048.1,1.8,5.3
KJ917623,38,41
KJ917624,38,41
KJ917625,38,41
KJ917626,38,41
KJ917627,38,41
KJ917628,38,41
KJ917629,38,41
KJ917630,38,41
EU098010.1,17,19
EU098011.1,17,19
EU098012.1,17,19
EU098014.1,17,19
EU098015.1,17,19
EU098013.1,17,19
AF450136.1,0.032,0.032
DQ177487.2,0.03,0.03
DQ177466.2,0.03,0.03
DQ177465.2,0.03,0.03
DQ177475.3,0.03,0.03
DQ177496.1,0.03,0.03
DQ177495.1,0.03,0.03
DQ177494.1,0.03,0.03
DQ177493.1,0.03,0.03
DQ177492.1,0.03,0.03
DQ177491.1,0.03,0.03
DQ177490.1,0.03,0.03
DQ177489.1,0.03,0.03
DQ177488.1,0.03,0.03
DQ177486.1,0.03,0.03
DQ177485.1,0.03,0.03
DQ177484.1,0.03,0.03
DQ177483.1,0.03,0.03
DQ177482.1,0.03,0.03
DQ177481.1,0.03,0.03
DQ177480.1,0.03,0.03
DQ177479.1,0.03,0.03
DQ177478.1,0.03,0.03
DQ177477.1,0.03,0.03
DQ177476.1,0.03,0.03
DQ177474.1,0.03,0.03
DQ177473.1,0.03,0.03
DQ177472.1,0.03,0.03
DQ177471.1,0.03,0.03
DQ177470.1,0.03,0.03
DQ177469.1,0.03,0.03
DQ177468.1,0.03,0.03
DQ177467.1,0.03,0.03
DQ177464.1,0.03,0.03
JX110657.1,0.006,0.008
JX110656.1,0.006,0.008
JX110655.1,0.006,0.008
JX110654.1,0.006,0.008
JX110653.1,0.006,0.008
JX110652.1,0.006,0.008
