taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Order	Characiformes	137.0122	2079	0.055758847	0.050703339	0.038984681
Order	Cichliformes	88.700002	986	0.077718785	0.069915701	0.051861979
Order	Cirrhitiformes	68.9992	59	0.059095431	0.049293287	0.027781809
Order	Clupeiformes	230.2	399	0.02601634	0.023016148	0.016110695
Order	Cypriniformes	172.9	4209	0.048264779	0.044257205	0.034959695
Order	Cyprinodontiformes	76.4016	1308	0.093928066	0.084865652	0.063879901
Order	Elopiformes	196.2	9	0.011198902	0.008203047	0.002995855
Order	Ephippiformes	88.547	11	0.02708048	0.020235123	0.007828014
Order	Esociformes	104.4784	14	0.025259358	0.019285355	0.00797207
Order	Gadiformes	78.8	616	0.081513286	0.072737587	0.052476733
Order	Galaxiiformes	145.636631	53	0.02726163	0.022630549	0.012528093
Order	Gobiiformes	102.3	1586	0.072032946	0.065263475	0.049580097
Order	Gonorynchiformes	198.6	37	0.018181863	0.014825977	0.00768407
Order	Gymnotiformes	147.8346	215	0.036328695	0.031671417	0.021030672
Order	Hiodontiformes	227.100002	2	0.003052167	0.001785403	0.000419684
Order	Holocentriformes	145.000002	46	0.026404423	0.021772416	0.011756883
Order	Istiophoriformes	27.944274	12	0.088923643	0.066983389	0.026550604
Order	Kurtiformes	102.3	162	0.049732124	0.043016647	0.027752478
Order	Labriformes	93.6284	410	0.064255687	0.056878533	0.039894795
Order	Lampridiformes	150.3	16	0.018447031	0.01423863	0.006096412
Order	Lepidogalaxiiformes	231.8	1	0	0	0
Order	Lepisosteiformes	32.700002	7	0.059507952	0.04239432	0.014373199
Order	Lophiiformes	80.3899	365	0.073391027	0.064802745	0.045051315
Order	Mugiliformes	89.763943	78	0.048535177	0.040955205	0.024100134
Order	Myctophiformes	173.1	257	0.032057054	0.028075173	0.018953849
Order	Notacanthiformes	101	27	0.032632048	0.02612928	0.012682513
Order	Ophidiiformes	132.8	534	0.047292137	0.042086744	0.030079249
Order	Osmeriformes	129.4	336	0.044954491	0.039620833	0.027364446
Order	Osteoglossiformes	227.1	242	0.024169695	0.021135686	0.014191404
Order	Pempheriformes	84.9629	67	0.049488572	0.04150471	0.023870987
Order	Perciformes	94.9	11185	0.098233181	0.090930149	0.073978378
Order	Percopsiformes	134.991	12	0.018407943	0.013866126	0.005496199
Order	Pholidichthyiformes	88.7	2	0.007814512	0.004571196	0.001074523
Order	Polymixiiformes	154.8	10	0.014874581	0.011012585	0.004146343
Order	Salmoniformes	104.4784	221	0.051667739	0.045076592	0.030010933
Order	Siluriformes	137.0122	3664	0.059894745	0.054837718	0.043106957
Order	Spariformes	80.2708	177	0.064483595	0.05591867	0.036416251
Order	Stomiatiformes	129.4	119	0.036932948	0.031640994	0.019702049
Order	Stylephoriformes	78.8	1	0	0	0
Order	Syngnathiformes	69.155117	365	0.085313967	0.075330451	0.052370249
Order	Tetraodontiformes	80.3899	432	0.075487413	0.066893858	0.047101188
Order	Uranoscopiformes	89.0292	55	0.045011448	0.03742822	0.02085044
Order	Zeiformes	66.4608	33	0.052610073	0.042629841	0.021592947
Order	Accipitriformes	86.1702	264	0.064708555	0.056708498	0.038376222
Order	Anseriformes	86.2369	164	0.059137868	0.051170651	0.03305669
Order	Apterygiformes	47.8507	3	0.022959169	0.014485623	0.003810217
Order	Bucerotiformes	80.7261	54	0.049413809	0.041054702	0.022799933
Order	Cariamiformes	85.1801	2	0.008137431	0.004760092	0.001118925
Order	Casuariiformes	24.8428	4	0.055802662	0.036883553	0.010560978
Order	Charadriiformes	89.2487	383	0.06664562	0.058908369	0.041106221
