Mya,Diversity,ExtinctionIntensity,OriginationIntensity
392,1194,14.57,12.27
393,1194,14.57,12.27
394,1194,14.57,12.27
395,1220,14.1,10.29
396,1220,14.1,10.29
397,1220,14.1,10.29
398,1248,12.34,15.18
399,1248,12.34,15.18
400,1248,12.34,15.18
401,1248,12.34,15.18
402,1248,12.34,15.18
403,1208,12.34,14.87
404,1208,12.34,14.87
405,1208,12.34,14.87
406,1208,12.34,14.87
407,1076,4.42,12.88
408,1076,4.42,12.88
409,1076,4.42,12.88
410,1007,6.91,12.47
411,1007,6.91,12.47
412,962,8.42,13.36
413,962,8.42,13.36
414,919,9.25,13.77
415,919,9.25,13.77
416,950,16.63,9.05
417,950,16.63,9.05
418,950,16.63,9.05
419,1026,15.79,10.33
420,1026,15.79,10.33
421,1026,15.79,10.33
422,1093,15.83,9.33
423,1108,10.52,14.85
424,1108,10.52,14.85
425,1108,10.52,14.85
426,1108,10.52,14.85
427,1048,9.98,18.28
428,1048,9.98,18.28
429,926,7.56,19.29
430,926,7.56,19.29
431,926,7.56,19.29
432,926,7.56,19.29
433,926,7.56,19.29
434,926,7.56,19.29
435,926,7.56,19.29
436,801,6.74,16.56
437,801,6.74,16.56
438,801,6.74,16.56
439,727,7.98,13.72
440,727,7.98,13.72
441,727,7.98,13.72
442,727,7.98,13.72
443,727,7.98,13.72
444,848,26.03,3.03
445,848,26.03,3.03
446,1171,29.78,7.40
447,1171,29.78,7.40
448,1198,9.49,7.15
449,1243,10.54,10.51
450,1243,10.54,10.51
451,1243,10.54,10.51
452,1243,10.54,10.51
453,1278,12.99,14.84
454,1278,12.99,14.84
455,1278,12.99,14.84
456,1278,12.99,14.84
457,1245,12.53,21.59
458,1245,12.53,21.59
459,1245,12.53,21.59
460,1245,12.53,21.59
461,1051,7.14,17.65
462,1051,7.14,17.65
463,930,6.89,19.53
464,816,8.28,20.29
465,816,8.28,20.29
466,816,8.28,20.29
467,816,8.28,20.29
468,764,14.87,20.24
469,764,14.87,20.24
470,764,14.87,20.24
471,764,14.87,20.24
472,678,10.18,42.92
473,678,10.18,42.92
474,678,10.18,42.92
475,678,10.18,42.92
476,439,11.85,42.37
477,439,11.85,42.37
478,439,11.85,42.37
479,318,20.44,34.43
480,318,20.44,34.43
481,318,20.44,34.43
482,318,20.44,34.43
483,318,20.44,34.43
484,265,21.17,39.89
485,265,21.17,39.89
486,265,21.17,39.89
487,265,21.17,39.89
488,265,21.17,39.89
489,220,27.56,16.17
490,220,27.56,16.17
491,206,10.46,24.09
492,206,10.46,24.09
493,191,18.32,26.18
494,191,18.32,26.18
495,177,20.34,22.03
496,177,20.34,22.03
497,171,19.06,35.19
498,171,19.06,35.19
499,183,39.62,14.75
500,183,39.62,14.75
501,216,27.67,29.68
502,216,27.67,29.68
503,202,25.04,11.86
504,220,18.94,14.55
505,246,23.58,18.50
506,246,23.58,18.50
507,235,14.5,15.14
508,235,14.5,15.14
509,232,14.22,13.36
510,232,14.22,13.36
511,232,14.22,13.36
512,232,14.22,13.36
513,239,15.72,13.84
514,239,15.72,13.84
515,239,15.72,13.84
516,236,12.92,10.17
517,236,12.92,10.17
518,236,12.92,10.17
519,361,41.19,12.62
520,361,41.19,12.62
521,361,41.19,12.62
522,437,27.84,29.67
523,437,27.84,29.67
524,344,10.63,48.33
525,344,10.63,48.33
526,344,10.63,48.33
527,195,8.97,40.00
528,195,8.97,40.00
529,195,8.97,40.00
530,140,16.43,35.00
531,140,16.43,35.00
532,99,8.08,54.55
533,99,8.08,54.55
534,47,4.26,70.21
535,47,4.26,70.21
536,47,4.26,70.21
537,47,4.26,70.21
538,16,12.5,75.00
539,16,12.5,75.00
540,16,12.5,75.00
541,16,12.5,75.00
